architecture,day,krs,length,surface
Heliantus_Pages_2013,0,8.629911442317351e-05,2.7222732876248403,0.3934045930274329
Heliantus_Pages_2013,1,0.00016883627154869941,5.3704651798620935,0.7761034419490689
Heliantus_Pages_2013,2,0.0002465624601327957,7.946591658416291,1.1483878828572933
Heliantus_Pages_2013,3,0.0003187606634565247,10.452613843954149,1.510541323696957
Heliantus_Pages_2013,4,0.00046566817944131627,21.030669689492377,2.3743052079398845
Heliantus_Pages_2013,5,0.0006747142651166716,44.23179853973821,4.0257813583792785
Heliantus_Pages_2013,6,0.0009345296206765205,79.82504316626368,6.712822454382456
Heliantus_Pages_2013,7,0.0011510707116385323,120.04836000256866,10.273628429658798
Heliantus_Pages_2013,8,0.0013109584330308881,164.93836062951405,14.199298569233942
Heliantus_Pages_2013,9,0.0014693326610806443,230.0689575528411,19.424809284888436
Heliantus_Pages_2013,10,0.0016111613426243686,333.8565186656085,27.111000026446874
Heliantus_Pages_2013,11,0.0017292564829747513,471.6810292416265,37.21585633505581
Heliantus_Pages_2013,12,0.001815806939302669,634.782753557824,49.025814019680716
Heliantus_Pages_2013,13,0.0018906421430344407,823.2956729897339,62.40680027315896
Heliantus_Pages_2013,14,0.0019507294797479788,1040.311582685529,77.48960962563424
Heliantus_Pages_2013,15,0.0020159562970981574,1283.2003292867607,94.32848784262583
Heliantus_Pages_2013,16,0.002077527066402377,1549.3658243186794,112.82834902171405
Heliantus_Pages_2013,17,0.0021380983172883477,1827.07789684938,132.13506666207803
Heliantus_Pages_2013,18,0.0021744063159893114,2119.515250072279,152.3181596954102
Heliantus_Pages_2013,19,0.002339992524954089,2425.516115060447,173.25007905615732
Heliantus_Pages_2013,20,0.0027745248312037217,2748.025193937618,195.21634498766508
Heliantus_Pages_2013,21,0.003380862730286386,3085.2626775546296,218.1213574277804
Heliantus_Pages_2013,22,0.00395487674097365,3421.16305796676,240.74041604180672
Heliantus_Pages_2013,23,0.004452657184437631,3760.3392874699116,263.3245408083695
Heliantus_Pages_2013,24,0.0048960793883395595,4104.4314906903455,286.0564950988579
Heliantus_Pages_2013,25,0.005340284445255693,4437.830745794603,308.30933208229976
Heliantus_Pages_2013,26,0.005705389466692857,4750.334165446635,329.5444149852674
Heliantus_Pages_2013,27,0.006058292660558975,5044.562062085764,349.696812912092
Heliantus_Pages_2013,28,0.006323960491690363,5338.257462949949,370.04203338050763
Heliantus_Pages_2013,29,0.0065865644735951644,5646.462440960381,391.24479167144136
Heliantus_Pages_2013,30,0.0067978681199862495,5974.682269081925,413.5480067816752
Heliantus_Pages_2013,31,0.006952342631683584,6313.720402076547,436.43950875234566
Heliantus_Pages_2013,32,0.007055440033849685,6661.489680438721,459.82778790348624
Heliantus_Pages_2013,33,0.0071410876251963825,7006.329119860828,482.97729020479414
Heliantus_Pages_2013,34,0.007195432529957656,7348.332037502814,505.7261854833693
Heliantus_Pages_2013,35,0.007227423375297559,7683.432114061872,528.0832025510955
Heliantus_Pages_2013,36,0.007255257436299274,8010.098610958095,549.9458696889485
Heliantus_Pages_2013,37,0.007287622765721407,8327.585888265938,571.2672849237937
Heliantus_Pages_2013,38,0.007324524747152765,8629.925343404904,591.6907299483842
Heliantus_Pages_2013,39,0.007355781494619382,8930.688131770894,612.0053534509248
Heliantus_Pages_2013,40,0.007392780664521485,9230.098512409122,632.2473032276093
Heliantus_Pages_2013,41,0.007418915459329776,9523.50333753274,652.0406548949408
Heliantus_Pages_2013,42,0.007437534676197309,9817.524466796838,671.6482169515452
Heliantus_Pages_2013,43,0.007454373406116641,10108.916679938286,690.9786862775279
Heliantus_Pages_2013,44,0.007462370937616198,10394.868212146284,709.9347002206057
Heliantus_Pages_2013,45,0.007469441729604251,10670.647988361674,728.0951712753575
Heliantus_Pages_2013,46,0.00748357166734656,10933.499320450544,745.70256049071
Heliantus_Pages_2013,47,0.007487650994335669,11187.429155734797,762.5858665667854
Heliantus_Pages_2013,48,0.007595605946774726,11421.570996386046,778.2433276336233
Heliantus_Pages_2013,49,0.007844138108787754,11647.082467083543,793.2545853563279
Heliantus_Pages_2013,50,0.00816444374938543,11865.02652998149,807.8397612920731
Heliantus_Pages_2013,51,0.008495019554606034,12071.740008743931,821.5712627202233
Heliantus_Pages_2013,52,0.008829929016354201,12274.70316204853,834.944939673918
Heliantus_Pages_2013,53,0.009181423784235783,12474.876694520426,848.1877020344402
Heliantus_Pages_2013,54,0.009536109788310971,12663.399953384529,860.6484399000078
Heliantus_Pages_2013,55,0.009869619293212497,12834.5263733972,871.91520923765
Heliantus_Pages_2013,56,0.010217021587520619,12994.906517909161,882.4234923972222
Heliantus_Pages_2013,57,0.010544206671738133,13147.514379355644,892.3746510798247
Heliantus_Pages_2013,58,0.010865288427401452,13287.42560620996,901.4712177247945
Heliantus_Pages_2013,59,0.011158547996565682,13417.558385180007,909.9063789792407
Heliantus_Pages_2013,60,0.01144161236342959,13535.023650433643,917.5067077801766
Heliantus_Pages_2013,61,0.01170450703223014,13642.63903910651,924.6701439090227
Heliantus_Pages_2013,62,0.011960306396126842,13738.505012608925,931.230313833136
Heliantus_Pages_2013,63,0.012198130756358063,13821.742667352917,936.9116080323287
Heliantus_Pages_2013,64,0.012421772878614425,13908.085700205957,942.7169717142008
Heliantus_Pages_2013,65,0.012634563585459876,13995.41877470717,948.5254200534699
Heliantus_Pages_2013,66,0.012844585028508283,14087.333907621898,954.7324783112172
Heliantus_Pages_2013,67,0.01302300520397608,14173.26361632449,960.5253984896405
Heliantus_Pages_2013,68,0.013177135721147018,14253.206816237971,965.871267469041
Heliantus_Pages_2013,69,0.013314523214648677,14335.048872432675,971.279488274988
Glycine_max_Moraes2020_opt2,0,0.0014471619896718481,7.944222188002468,7.401006833020918
Glycine_max_Moraes2020_opt2,1,0.002483058459825778,28.89739905595772,17.829409311485804
Glycine_max_Moraes2020_opt2,2,0.0029256864768087846,61.704324908440796,31.00571888793789
Glycine_max_Moraes2020_opt2,3,0.0033604929904700355,107.2544663402464,47.57974617516184
Glycine_max_Moraes2020_opt2,4,0.0036771318022250487,163.30969829813208,66.1838147684599
Glycine_max_Moraes2020_opt2,5,0.003943166070839195,237.07600295455904,87.65891748932424
Glycine_max_Moraes2020_opt2,6,0.00415269721619127,330.35844919987045,112.03331609586104
Glycine_max_Moraes2020_opt2,7,0.004326632330146566,442.68952267114526,139.10883478977874
Glycine_max_Moraes2020_opt2,8,0.004458068708053165,571.8174953836809,168.38600054666276
Glycine_max_Moraes2020_opt2,9,0.004559926696885221,716.1083816912906,199.5732764650161
Glycine_max_Moraes2020_opt2,10,0.004926308729061575,877.2278785390299,233.6488798586069
Glycine_max_Moraes2020_opt2,11,0.005283270485055509,1047.9305233194964,268.71668219760534
Glycine_max_Moraes2020_opt2,12,0.005621742429594482,1228.0812435697108,304.875807870824
Glycine_max_Moraes2020_opt2,13,0.005877570071579193,1413.417138190312,341.5448720741601
Glycine_max_Moraes2020_opt2,14,0.00602652740921494,1604.0931128996772,378.58222951352815
Glycine_max_Moraes2020_opt2,15,0.006122669003320366,1796.4841945932812,415.5279954781431
Glycine_max_Moraes2020_opt2,16,0.00617582214817782,1988.6821183731713,452.1613623403563
Glycine_max_Moraes2020_opt2,17,0.006475814195151166,2185.9487746784635,489.85011497043075
Glycine_max_Moraes2020_opt2,18,0.006724645709320607,2383.454812156937,527.0575020459614
Glycine_max_Moraes2020_opt2,19,0.007611879710328853,2579.388067248058,563.7405928259857
Glycine_max_Moraes2020_opt2,20,0.009105955905063778,2773.838416358478,600.1226478358426
Glycine_max_Moraes2020_opt2,21,0.010453981617196613,2963.6547272616963,635.4857569071737
Glycine_max_Moraes2020_opt2,22,0.011678301215812353,3147.7053245960205,669.6858113516726
Glycine_max_Moraes2020_opt2,23,0.012720281098799255,3326.7612982926858,702.8667139141401
Glycine_max_Moraes2020_opt2,24,0.013770413524533122,3507.570897510054,736.6262397208878
Glycine_max_Moraes2020_opt2,25,0.014573464782637609,3687.7461056813913,769.7554811657342
Glycine_max_Moraes2020_opt2,26,0.01519786609046396,3865.379147927474,802.1973555183297
Glycine_max_Moraes2020_opt2,27,0.015655329356530523,4040.7851250905032,834.2656560652267
Glycine_max_Moraes2020_opt2,28,0.015971306636942312,4211.348003325038,865.274457099832
Glycine_max_Moraes2020_opt2,29,0.01630522955399236,4377.477647134504,895.3473710310361
Glycine_max_Moraes2020_opt2,30,0.016682202464175726,4539.141837335812,924.6825973141788
Glycine_max_Moraes2020_opt2,31,0.016945634668088284,4695.315505921442,952.850345502754
Glycine_max_Moraes2020_opt2,32,0.01710434703908305,4846.406567818176,979.8678853883571
Glycine_max_Moraes2020_opt2,33,0.01720092067289476,4991.605222255073,1005.6945422539673
Glycine_max_Moraes2020_opt2,34,0.017252046001530148,5133.062817724361,1030.8761780493414
Glycine_max_Moraes2020_opt2,35,0.017248917013765692,5268.295675975427,1054.7626486778918
Glycine_max_Moraes2020_opt2,36,0.017350134571174118,5399.809064102063,1077.8876780992919
Glycine_max_Moraes2020_opt2,37,0.017554266632450893,5525.4680090737365,1100.1217020421668
Glycine_max_Moraes2020_opt2,38,0.017673576954583596,5643.979000851148,1121.0217727244901
Glycine_max_Moraes2020_opt2,39,0.017721514148145254,5757.274421559282,1140.8258896717257
Glycine_max_Moraes2020_opt2,40,0.017727080453880054,5863.8998222711425,1159.4583317164506
Glycine_max_Moraes2020_opt2,41,0.01769776297295134,5966.778374793558,1177.478095482073
Glycine_max_Moraes2020_opt2,42,0.017623550315205766,6063.135088209687,1194.348247112406
Glycine_max_Moraes2020_opt2,43,0.017649728251797198,6157.007268449277,1210.633472497921
Glycine_max_Moraes2020_opt2,44,0.017794977204285512,6245.454250981509,1226.1427392114674
Glycine_max_Moraes2020_opt2,45,0.017887161708331992,6327.780253739129,1240.6003472100172
